Year,President,Party,but_CC,or_CC,nor_CC,without_IN,unless_IN,although_IN,except_IN,terrible_JJ,afraid_JJ,disappointed_JJ,weak_JJ,crazy_JJ,lonely_JJ,suspicious_JJ,inadequate_JJ,worthless_JJ,vain_JJ,dumb_JJ,ignorant_JJ,inferior_JJ,boring_JJ,action_NN,fear_NN,enemy_NN,loss_NN,greed_NN,tragedy_NN,anger_NN,jerk_NN,hated_NN,agony_NN,anguish_NN,lies_NNS,my_PP$,me_PPO,myself_PPL,mine_PP$$,i_PPSS,i'm_PPSS,i've_PPSS,i'll_PPSS,i'd_PPSS,rather_RB,however_RB,besides_RB,sorry_UH,go_VB,take_VB,look_VB,lead_VB,move_VB,run_VB,walk_VB,drive_VB,follow_VB,carry_VB,hate_VB,lie_VB,abandon_VB,arrive_VB,despise_VB,dislike_VB,moved_VBD,followed_VBD,flew_VBD,lied_VBD,going_VBG,taking_VBG,bringing_VBG,carrying_VBG,driven_VBN,arrived_VBN,fled_VBN,goes_VBZ,hates_VBZ,arrives_VBZ,win/loss
2000,bush000307.txt,Republican,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,23,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2000,bush000314.txt,Republican,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,1,19,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,bush000608.txt,Republican,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2000,bush000710.txt,Republican,14,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,20,9,5,2,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2000,bush000803.txt,Republican,41,10,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,27,19,1,0,116,4,5,0,1,1,0,0,0,7,5,4,5,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,1
2000,bush000825.txt,Republican,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,bush001024.txt,Republican,15,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,35,3,2,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,1
2000,bush001102.txt,Republican,5,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,10,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1
2000,bush001103.txt,Republican,19,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,8,0,0,50,9,3,1,0,0,1,0,0,1,2,2,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1
2000,gore000210.txt,Democrat,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,16,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
