Speeches,we_PPSS,that_CS,this_DT,will_MD,that_DT,that's_DT,my_PP$,he_PPS,has_HVZ,because_CS,we've_PPSS,so_CS,his_PP$,why_WRB,senator_NN,college_NN,life_NN,most_QL,folks_NNS,everybody_PN,laughter_NP,percent_NN,business_NN,history_NN,mccain_NP,dollars_NNS,chance_NN,obama_NP,clinton_NP,wrong_JJ,interests_NNS,record_NN,bad_JJ,direction_NN,sick_JJ,spending_NN,greater_JJR,cause_NN,elected_VBN,courage_NN,wealth_NN,case_NN,roads_NNS,increase_NN,reforms_NNS,win/loss,Reduced by correlation then RFL
2004bush040511.txt,0.0093985,0.0059076,0.0061762,0.0028195,0.0018797,0.0055048,0.0016112,0.0014769,0.0018797,0.0017454,0.0022825,0.0022825,0.00026853,0.0012084,0,0.00040279,0.00080559,0.00026853,0.00013426,0.00040279,0.0018797,0.00040279,0.00013426,0,0,0.00026853,0.00013426,0,0,0.00013426,0,0,0,0,0,0.00013426,0.00013426,0,0.00013426,0,0,0.00026853,0,0.00013426,0.00013426,1,
2004bush040616.txt,0.0058696,0.0052518,0.0027804,0.0089589,0.0012357,0.00030893,0.0012357,0.00061786,0.0015446,0.0033982,0.00092678,0.00092678,0.0018536,0.00030893,0,0,0.0018536,0.00061786,0,0,0.0015446,0,0,0.00030893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092678,0,0.00061786,0,0,0,0,0,1,
2004bush040714.txt,0.01521,0.0032448,0.0048672,0.0048672,0.002028,0.0012168,0.0028392,0.0038532,0.0026364,0.0022308,0.0014196,0.0016224,0.0018252,0.0002028,0.00081119,0,0.001014,0.0006084,0,0,0.0022308,0.0002028,0.0002028,0.0004056,0,0,0.0002028,0,0,0.0002028,0,0,0.0002028,0.0004056,0,0.0002028,0,0.0002028,0,0.0004056,0.0002028,0,0,0,0.0002028,1,
2004bush040810.txt,0.017662,0.0027334,0.0050463,0.0077796,0.0027334,0.00084104,0.0035744,0.0050463,0.0014718,0.0027334,0.0044155,0.0029437,0.0031539,0.00084104,0.00063078,0,0.00063078,0.00042052,0,0.00021026,0.00063078,0.00042052,0.00042052,0.00021026,0.00042052,0,0,0,0,0.00021026,0.00021026,0,0,0.00021026,0,0,0.00021026,0.00042052,0.00021026,0.00042052,0,0,0,0,0.00021026,1,
2004bush040828.txt,0.017515,0.0058384,0.0082102,0.0054735,0.0031016,0.0003649,0.0027367,0.0041963,0.0012771,0.0029192,0.0031016,0.0027367,0.0021894,0.0003649,0.0003649,0.00018245,0.00054735,0.0003649,0,0.00018245,0.00091224,0.00018245,0.0003649,0.0003649,0,0,0.00018245,0,0,0,0.0003649,0,0,0.0003649,0,0.00018245,0,0.00072979,0.00018245,0.00018245,0,0,0,0,0.00018245,1,
2004bush040902.txt,0.018704,0.0049311,0.0057813,0.012583,0.0030607,0.00034008,0.0035708,0.0018704,0.0011903,0.0035708,0,0.0013603,0.0018704,0.00017004,0.00051012,0.00034008,0.00068016,0.0010202,0.00017004,0,0.0011903,0.00034008,0.00034008,0.00068016,0,0,0.00051012,0,0.00017004,0,0,0.00034008,0,0,0.00017004,0.00034008,0.00017004,0.00068016,0,0.00051012,0,0,0,0,0.00017004,1,
2004bush040924.txt,0.012329,0.005702,0.0066266,0.0036986,0.0035445,0.0024657,0.002928,0.0061643,0.00092464,0.0026198,0.0024657,0.0023116,0.0020034,0.0023116,0.00030821,0.00046232,0.00077053,0.00046232,0.00030821,0,0.0016952,0.00046232,0.00015411,0.00092464,0,0,0.00061643,0,0,0.00015411,0.00015411,0.00015411,0,0.00015411,0,0.00030821,0,0.00030821,0.00030821,0.00030821,0,0,0,0,0,1,
2004bush041002.txt,0.0090772,0.0040343,0.005211,0.0038662,0.0043705,0.001681,0.0042024,0.0050429,0.0010086,0.0018491,0.0031938,0.0020171,0.0018491,0.0021852,0.00084048,0.00050429,0.00084048,0.00084048,0.00033619,0.0001681,0.0020171,0.00033619,0.0001681,0.00033619,0,0,0.0001681,0,0,0.0001681,0,0.0001681,0,0.0001681,0,0.0001681,0.0001681,0,0.0001681,0.0001681,0,0,0,0,0,1,
2004bush041020.txt,0.010609,0.004449,0.0035934,0.0065024,0.0051335,0.0018823,0.0049624,0.007358,0.0022245,0.0020534,0.00068446,0.0022245,0.0032512,0.0018823,0.00154,0,0.00051335,0.00085558,0.00017112,0,0.0034223,0.00034223,0.00034223,0.00068446,0,0.00017112,0.00017112,0,0,0.00034223,0,0.00068446,0,0.00034223,0,0.00034223,0,0,0.00051335,0.00017112,0,0.00017112,0,0,0,1,
2004bush041101.txt,0.0093953,0.0065045,0.0079499,0.0055408,0.0016863,0.00265,0.0052999,0.0069863,0.0043363,0.0021682,0.00024091,0.00048181,0.0031318,0.00048181,0.0028909,0,0.00072272,0.0014454,0,0.00048181,0.0038545,0.00072272,0,0.00096362,0,0,0.00024091,0,0,0.0012045,0,0.0012045,0,0,0,0.00024091,0,0,0.00024091,0.00024091,0,0,0,0,0.00048181,1,
2004kerry040315.txt,0.019608,0.0078431,0.0088235,0.0093137,0.002451,0.0014706,0.0004902,0.00098039,0.0034314,0.0004902,0,0.0004902,0.0029412,0.0004902,0,0,0.00098039,0.0004902,0,0,0,0,0,0,0,0.0004902,0,0,0,0,0,0,0.0004902,0,0,0,0,0,0,0.0004902,0,0,0,0,0,0,
2004kerry040325.txt,0.019129,0.0063762,0.0085016,0.0095643,0.0026567,0.00053135,0.001594,0.001594,0.0053135,0.0021254,0.00053135,0.0010627,0.0021254,0.00053135,0,0,0,0.00053135,0,0,0,0,0,0.00053135,0,0,0,0,0.001594,0,0,0.001594,0,0.00053135,0,0,0.00053135,0,0.00053135,0,0,0,0,0,0,0,
