Words,PCA dimension 0,PCA dimension 1,,because_CS,,obama_NP,Level 0,obama_NP,Overall Importance
,,,,allies_NNS,,,,,
,,,,always_RB,,,,,
,,,,republican_NP,,,,,
,,,,show_VB,,,,,
,,,,success_NN,,,,,
,,,,important_JJ,,,,,
,,,,instead_RB,,,,,
,,,,countries_NNS,,,,,
,,,,nations_NNS,,,,,
,,,,respect_NN,,,,,
,,,,ones_NNS,,,,,
,,,,programs_NNS,,,,,
,,,,state_NN,,,,,
,,,,appreciate_VB,,,,,
,,,,from_IN,,,,,
,,,,fight_NN,,,,,
,,,,region_NN,,,,,
,,,,program_NN,,,,,
,,,,three_CD,,,,,
,,,,legislation_NN,,,,,
,,,,house_NN,,,,,
,,,,word_NN,,,,,
,,,,example_NN,,,,,
,,,,bill_NP,,,,,
,,,,clear_JJ,,,,,
,,,,require_VB,,,,,
,,,,least_AP,,,,,
,,,,first_OD,,,,,
,,,,republican_JJ,,,,,
,,,,little_AP,,,,,
,,,,third_OD,,,,,
,,,,i_PPSS,,,,,
,,,,lower_JJR,,,,,
,,,,find_VB,,,,,
,,,,higher_JJR,,,,,
,,,,alone_RB,,,,,
,,,,every_AT,,,,,
,,,,family_NN,,,,,
,,,,retirement_NN,,,,,
,,,,first_RB,,,,,
,,,,plans_NNS,,,,,
,,,,around_RB,,,,,
,,,,price_NN,,,,,
,,,,offer_VB,,,,,
,,,,known_VBN,,,,,
,,,,leader_NN,,,,,
,,,,those_DTS,,,,,
,,,,iran_NP,,,,,
,,,,simply_RB,,,,,
,,,,bill_NN,,,,,
,,,,use_VB,,,,,
,,,,campaign_NN,,,,,
,,,,need_NN,,,,,
,,,,forget_VB,,,,,
,,,,one_PN,,,,,
,,,,money_NN,,,,,
,,,,cut_VB,,,,,
,,,,let_VB,,,,,
,,,,past_AP,,,,,
,,,,an_AT,,,,,
,,,,forces_NNS,,,,,
,,,,less_QL,,,,,
,,,,all_ABN,,,,,
,,,,deserve_VB,,,,,
,,,,should_MD,,,,,
,,,,is_BEZ,,,,,
,,,,by_IN,,,,,
,,,,leave_VB,,,,,
,,,,number_NN,,,,,
,,,,learned_VBD,,,,,
,,,,even_QL,,,,,
,,,,does_DOZ,,,,,
,,,,liberty_NN,,,,,
,,,,budget_NN,,,,,
,,,,bring_VB,,,,,
,,,,east_NR,,,,,
,,,,reform_NN,,,,,
,,,,once_RB,,,,,
,,,,private_JJ,,,,,
,,,,world's_NN$,,,,,
,,,,problem_NN,,,,,
,,,,high_JJ,,,,,
,,,,might_MD,,,,,
,,,,social_JJ,,,,,
,,,,away_RB,,,,,
,,,,quality_NN,,,,,
,,,,today_NR,,,,,
,,,,decision_NN,,,,,
,,,,ensure_VB,,,,,
,,,,best_JJT,,,,,
,,,,for_CS,,,,,
