because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,november_NP,-0.003331355,,Mean,Median,,because_CS,0.515895546,,deserve_VB,-0.088759406
thing_NN,0.186068114,,,,,,,,,,,,,,,,,,,,,,,,
communities_NNS,0.185258392,,,,,,,,,,,,,,,,,,,,,,,,
maybe_RB,0.184473565,,,,,,,,,,,,,,,,,,,,,,,,
still_RB,0.184163815,,,,,,,,,,,,,,,,,,,,,,,,
neighbors_NNS,0.18389545,,,,,,,,,,,,,,,,,,,,,,,,
running_VBG,0.18368359,,,,,,,,,,,,,,,,,,,,,,,,
middle_JJ,0.183079826,,,,,,,,,,,,,,,,,,,,,,,,
i'll_PPSS,0.182938787,,,,,,,,,,,,,,,,,,,,,,,,
kids_NNS,0.181452079,,,,,,,,,,,,,,,,,,,,,,,,
banks_NNS,0.181353809,,,,,,,,,,,,,,,,,,,,,,,,
workers_NNS,0.181265468,,,,,,,,,,,,,,,,,,,,,,,,
invest_VB,0.181004939,,,,,,,,,,,,,,,,,,,,,,,,
stay_VB,0.178884042,,,,,,,,,,,,,,,,,,,,,,,,
started_VBD,0.178103691,,,,,,,,,,,,,,,,,,,,,,,,
saw_VBD,0.177304403,,,,,,,,,,,,,,,,,,,,,,,,
said_VBD,0.176729018,,,,,,,,,,,,,,,,,,,,,,,,
work_NN,0.17603897,,,,,,,,,,,,,,,,,,,,,,,,
generation_NN,0.175642503,,,,,,,,,,,,,,,,,,,,,,,,
months_NNS,0.175102112,,,,,,,,,,,,,,,,,,,,,,,,
wealthy_JJ,0.172277874,,,,,,,,,,,,,,,,,,,,,,,,
million_CD,0.171920147,,,,,,,,,,,,,,,,,,,,,,,,
skills_NNS,0.170867414,,,,,,,,,,,,,,,,,,,,,,,,
wants_VBZ,0.170706967,,,,,,,,,,,,,,,,,,,,,,,,
know_VB,0.169891399,,,,,,,,,,,,,,,,,,,,,,,,
philosophy_NN,0.169563564,,,,,,,,,,,,,,,,,,,,,,,,
move_VB,0.168886142,,,,,,,,,,,,,,,,,,,,,,,,
grow_VB,0.168173263,,,,,,,,,,,,,,,,,,,,,,,,
states_NNS,0.167469258,,,,,,,,,,,,,,,,,,,,,,,,
standing_VBG,0.167211213,,,,,,,,,,,,,,,,,,,,,,,,
giving_VBG,0.166136566,,,,,,,,,,,,,,,,,,,,,,,,
passed_VBD,0.164886205,,,,,,,,,,,,,,,,,,,,,,,,
romney_NN,0.163619961,,,,,,,,,,,,,,,,,,,,,,,,
building_VBG,0.162557356,,,,,,,,,,,,,,,,,,,,,,,,
uniform_NN,0.160899399,,,,,,,,,,,,,,,,,,,,,,,,
community_NN,0.160216768,,,,,,,,,,,,,,,,,,,,,,,,
i've_PPSS,0.159949272,,,,,,,,,,,,,,,,,,,,,,,,
outstanding_JJ,0.159143487,,,,,,,,,,,,,,,,,,,,,,,,
worked_VBD,0.158461518,,,,,,,,,,,,,,,,,,,,,,,,
pay_VB,0.157649824,,,,,,,,,,,,,,,,,,,,,,,,
talking_VBG,0.156970777,,,,,,,,,,,,,,,,,,,,,,,,
fighting_VBG,0.156174534,,,,,,,,,,,,,,,,,,,,,,,,
say_VB,0.155945752,,,,,,,,,,,,,,,,,,,,,,,,
street_NN,0.155762098,,,,,,,,,,,,,,,,,,,,,,,,
investments_NNS,0.155714216,,,,,,,,,,,,,,,,,,,,,,,,
got_VBN,0.155161958,,,,,,,,,,,,,,,,,,,,,,,,
means_VBZ,0.153551494,,,,,,,,,,,,,,,,,,,,,,,,
recession_NN,0.152046366,,,,,,,,,,,,,,,,,,,,,,,,
renewable_JJ,0.151303761,,,,,,,,,,,,,,,,,,,,,,,,
lobbyists_NNS,0.151265962,,,,,,,,,,,,,,,,,,,,,,,,
it's_NP$,0.150693666,,,,,,,,,,,,,,,,,,,,,,,,
stake_NN,0.150100753,,,,,,,,,,,,,,,,,,,,,,,,
member_NN,0.149328814,,,,,,,,,,,,,,,,,,,,,,,,
dream_NN,0.148898894,,,,,,,,,,,,,,,,,,,,,,,,
doesn't_DOZ,0.148454846,,,,,,,,,,,,,,,,,,,,,,,,
do_DO,0.147917654,,,,,,,,,,,,,,,,,,,,,,,,
infrastructure_NN,0.147903954,,,,,,,,,,,,,,,,,,,,,,,,
month_NN,0.147486337,,,,,,,,,,,,,,,,,,,,,,,,
being_BEG,0.146114599,,,,,,,,,,,,,,,,,,,,,,,,
put_VBD,0.145908601,,,,,,,,,,,,,,,,,,,,,,,,
comes_VBZ,0.145714669,,,,,,,,,,,,,,,,,,,,,,,,
something_PN,0.144964036,,,,,,,,,,,,,,,,,,,,,,,,
may_MD,0.144952479,,,,,,,,,,,,,,,,,,,,,,,,
happens_VBZ,0.143730824,,,,,,,,,,,,,,,,,,,,,,,,
decades_NNS,0.143240411,,,,,,,,,,,,,,,,,,,,,,,,
are_BER,0.142834445,,,,,,,,,,,,,,,,,,,,,,,,
you_PPO,0.142662659,,,,,,,,,,,,,,,,,,,,,,,,
applause_NN,0.142577087,,,,,,,,,,,,,,,,,,,,,,,,
she_PPS,0.142567678,,,,,,,,,,,,,,,,,,,,,,,,
works_VBZ,0.142085241,,,,,,,,,,,,,,,,,,,,,,,,
relief_NN,0.141840155,,,,,,,,,,,,,,,,,,,,,,,,
1_CD,0.141263348,,,,,,,,,,,,,,,,,,,,,,,,
out_RP,0.14123718,,,,,,,,,,,,,,,,,,,,,,,,
finally_RB,0.138854689,,,,,,,,,,,,,,,,,,,,,,,,
trying_VBG,0.138775777,,,,,,,,,,,,,,,,,,,,,,,,
compete_VB,0.138510167,,,,,,,,,,,,,,,,,,,,,,,,
over_IN,0.13838239,,,,,,,,,,,,,,,,,,,,,,,,
where_WRB,0.138174471,,,,,,,,,,,,,,,,,,,,,,,,
turn_VB,0.137650959,,,,,,,,,,,,,,,,,,,,,,,,
start_VB,0.137511779,,,,,,,,,,,,,,,,,,,,,,,,
challenges_NNS,0.137435799,,,,,,,,,,,,,,,,,,,,,,,,
led_VBD,0.137359823,,,,,,,,,,,,,,,,,,,,,,,,
i'd_PPSS,0.136455512,,,,,,,,,,,,,,,,,,,,,,,,
research_NN,0.13581962,,,,,,,,,,,,,,,,,,,,,,,,
fought_VBD,0.13573278,,,,,,,,,,,,,,,,,,,,,,,,
understand_VB,0.134431232,,,,,,,,,,,,,,,,,,,,,,,,
love_VB,0.134028983,,,,,,,,,,,,,,,,,,,,,,,,
lot_NN,0.133353816,,,,,,,,,,,,,,,,,,,,,,,,
well_UH,0.133099265,,,,,,,,,,,,,,,,,,,,,,,,
rebuild_VB,0.132830359,,,,,,,,,,,,,,,,,,,,,,,,
to_TO,0.132682396,,,,,,,,,,,,,,,,,,,,,,,,
helping_VBG,0.13093311,,,,,,,,,,,,,,,,,,,,,,,,
wouldn't_MD,0.130286942,,,,,,,,,,,,,,,,,,,,,,,,
that_WPS,0.129545376,,,,,,,,,,,,,,,,,,,,,,,,
home_NR,0.129347011,,,,,,,,,,,,,,,,,,,,,,,,
about_RB,0.129082031,,,,,,,,,,,,,,,,,,,,,,,,
think_VB,0.128418413,,,,,,,,,,,,,,,,,,,,,,,,
met_VBD,0.128377314,,,,,,,,,,,,,,,,,,,,,,,,
education_NN,0.127818186,,,,,,,,,,,,,,,,,,,,,,,,
more_AP,0.127742982,,,,,,,,,,,,,,,,,,,,,,,,
manufacturing_VBG,0.127515437,,,,,,,,,,,,,,,,,,,,,,,,
industry_NN,0.12743313,,,,,,,,,,,,,,,,,,,,,,,,
matter_NN,0.126827811,,,,,,,,,,,,,,,,,,,,,,,,
struggling_VBG,0.126440059,,,,,,,,,,,,,,,,,,,,,,,,
mother_NN,0.126071923,,,,,,,,,,,,,,,,,,,,,,,,
deal_NN,0.124974814,,,,,,,,,,,,,,,,,,,,,,,,
streets_NNS,0.124807066,,,,,,,,,,,,,,,,,,,,,,,,
couldn't_MD,0.124652654,,,,,,,,,,,,,,,,,,,,,,,,
last_AP,0.124640496,,,,,,,,,,,,,,,,,,,,,,,,
moment_NN,0.123467099,,,,,,,,,,,,,,,,,,,,,,,,
vote_VB,0.123279424,,,,,,,,,,,,,,,,,,,,,,,,
talk_VB,0.123220587,,,,,,,,,,,,,,,,,,,,,,,,
harder_RBR,0.123092212,,,,,,,,,,,,,,,,,,,,,,,,
road_NN,0.122784891,,,,,,,,,,,,,,,,,,,,,,,,
strong_JJ,0.121718904,,,,,,,,,,,,,,,,,,,,,,,,
end_VB,0.1216305,,,,,,,,,,,,,,,,,,,,,,,,
around_IN,0.121440069,,,,,,,,,,,,,,,,,,,,,,,,
union_NN,0.121237846,,,,,,,,,,,,,,,,,,,,,,,,
millions_NNS,0.120854178,,,,,,,,,,,,,,,,,,,,,,,,
seniors_NNS,0.12045768,,,,,,,,,,,,,,,,,,,,,,,,
thousands_NNS,0.119098571,,,,,,,,,,,,,,,,,,,,,,,,
heard_VBD,0.118289811,,,,,,,,,,,,,,,,,,,,,,,,
woman_NN,0.11828614,,,,,,,,,,,,,,,,,,,,,,,,
coming_VBG,0.116443627,,,,,,,,,,,,,,,,,,,,,,,,
her_PP$,0.11641519,,,,,,,,,,,,,,,,,,,,,,,,
bit_NN,0.116321342,,,,,,,,,,,,,,,,,,,,,,,,
far_RB,0.116067056,,,,,,,,,,,,,,,,,,,,,,,,
hear_VB,0.116004037,,,,,,,,,,,,,,,,,,,,,,,,
walk_VB,0.115550546,,,,,,,,,,,,,,,,,,,,,,,,
since_IN,0.11534866,,,,,,,,,,,,,,,,,,,,,,,,
afghanistan_NP,0.112738616,,,,,,,,,,,,,,,,,,,,,,,,
who_WPS,0.112609048,,,,,,,,,,,,,,,,,,,,,,,,
listen_VB,0.112453444,,,,,,,,,,,,,,,,,,,,,,,,
stood_VBD,0.112450348,,,,,,,,,,,,,,,,,,,,,,,,
somebody_PN,0.112404758,,,,,,,,,,,,,,,,,,,,,,,,
cuts_NNS,0.112350321,,,,,,,,,,,,,,,,,,,,,,,,
regulations_NNS,0.111843089,,,,,,,,,,,,,,,,,,,,,,,,
steps_NNS,0.111821139,,,,,,,,,,,,,,,,,,,,,,,,
about_IN,0.111538842,,,,,,,,,,,,,,,,,,,,,,,,
local_JJ,0.111368005,,,,,,,,,,,,,,,,,,,,,,,,
time_NN,0.110389863,,,,,,,,,,,,,,,,,,,,,,,,
al_NP,0.110050467,,,,,,,,,,,,,,,,,,,,,,,,
thanks_NNS,0.109462326,,,,,,,,,,,,,,,,,,,,,,,,
they_PPSS,0.109429344,,,,,,,,,,,,,,,,,,,,,,,,
says_VBZ,0.108130541,,,,,,,,,,,,,,,,,,,,,,,,
like_CS,0.107445486,,,,,,,,,,,,,,,,,,,,,,,,
goes_VBZ,0.106118019,,,,,,,,,,,,,,,,,,,,,,,,
putting_VBG,0.105369912,,,,,,,,,,,,,,,,,,,,,,,,
eight_CD,0.10497526,,,,,,,,,,,,,,,,,,,,,,,,
jobs_NNS,0.104925281,,,,,,,,,,,,,,,,,,,,,,,,
part_NN,0.104206424,,,,,,,,,,,,,,,,,,,,,,,,
shouldn't_MD,0.103452277,,,,,,,,,,,,,,,,,,,,,,,,
women_NNS,0.102671293,,,,,,,,,,,,,,,,,,,,,,,,
promise_NN,0.101831907,,,,,,,,,,,,,,,,,,,,,,,,
company_NN,0.101750453,,,,,,,,,,,,,,,,,,,,,,,,
less_AP,0.100663563,,,,,,,,,,,,,,,,,,,,,,,,
