because_CS,0.515895546,,Mean,Median,,because_CS,0.515895546,Filter values >= Mean,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,because_CS,,obama_NP,-0.403758908,,Mean,Median,,obama_NP
bring_VB,0.09528401,,,,,bring_VB,FALSE,,,,,republicans_NPS,0.223934784,,,,,,,,,,,,,,,,
liberty_NN,0.094799896,,,,,liberty_NN,FALSE,,,,,colleges_NNS,0.223156271,,,,,,,,,,,,,,,,
learned_VBD,0.092317009,,,,,learned_VBD,FALSE,,,,,corporations_NNS,0.221083348,,,,,,,,,,,,,,,,
number_NN,0.092189857,,,,,number_NN,FALSE,,,,,election_NN,0.219677847,,,,,,,,,,,,,,,,
deserve_VB,0.088759406,,,,,deserve_VB,FALSE,,,,,audience_NN,0.219566484,,,,,,,,,,,,,,,,
less_QL,0.088222832,,,,,less_QL,FALSE,,,,,you've_PPSS,0.219448947,,,,,,,,,,,,,,,,
let_VB,0.085556388,,,,,let_VB,FALSE,,,,,some_DTI,0.217762382,,,,,,,,,,,,,,,,
cut_VB,0.084884411,,,,,cut_VB,FALSE,,,,,2008_CD,0.217406702,,,,,,,,,,,,,,,,
money_NN,0.084571796,,,,,money_NN,FALSE,,,,,up_RP,0.216340433,,,,,,,,,,,,,,,,
forget_VB,0.084275154,,,,,forget_VB,FALSE,,,,,depression_NN,0.215746659,,,,,,,,,,,,,,,,
known_VBN,0.081919383,,,,,known_VBN,FALSE,,,,,made_VBD,0.21523136,,,,,,,,,,,,,,,,
offer_VB,0.081892276,,,,,offer_VB,FALSE,,,,,century_NN,0.210280425,,,,,,,,,,,,,,,,
i'm_PPSS,0.081570291,,,,,i'm_PPSS,FALSE,,,,,asking_VBG,0.209834959,,,,,,,,,,,,,,,,
plans_NNS,0.081312336,,,,,plans_NNS,FALSE,,,,,idea_NN,0.209780069,,,,,,,,,,,,,,,,
retirement_NN,0.081236176,,,,,retirement_NN,FALSE,,,,,reason_NN,0.209610208,,,,,,,,,,,,,,,,
every_AT,0.080707352,,,,,every_AT,FALSE,,,,,they've_PPSS,0.209328281,,,,,,,,,,,,,,,,
higher_JJR,0.080522801,,,,,higher_JJR,FALSE,,,,,class_NN,0.208610337,,,,,,,,,,,,,,,,
